E-table state encoding (flip, slice_id, edge8_perm, slice_perm)
======================================================================

E0052 [   0,494,37059,21] [ 7步] U翻棱:B2 | D归位:D B2 | 中层:D' R2 | 收尾:U D
E0053 [   0,494,11520, 0] [ 1步] U翻棱:U2 | D归位: | 中层: | 收尾:
E0054 [   0,494,24170, 2] [ 7步] U翻棱:F2 | D归位:L2 U' | 中层:B2 R2 | 收尾:D' B2
E0055 [   0,494,17243,18] [ 9步] U翻棱:U2 L2 | D归位:U2 R2 | 中层:U R2 | 收尾:D' B2 R2
E0056 [   0,494,34023, 9] [10步] U翻棱:U' F2 | D归位:D2 R2 D2 | 中层:B2 R2 | 收尾:D R2 U
E0057 [   0,494,10852, 5] [ 8步] U翻棱:D2 F2 | D归位:U' D2 | 中层:R2 U' | 收尾:D2 F2
E0058 [   0,494,27309,17] [ 5步] U翻棱:F2 | D归位:D' | 中层:R2 | 收尾:L2 D'
E0059 [   0,494,  764, 7] [ 9步] U翻棱:U2 L2 | D归位:U2 F2 | 中层:D2 B2 | 收尾:U' R2 D'
E0060 [   0,494,12037,21] [ 4步] U翻棱:U2 | D归位:D | 中层:R2 | 收尾:D2
E0061 [   0,494,21726,22] [ 6步] U翻棱:D' | D归位:L2 D | 中层:R2 | 收尾:U F2
E0062 [   0,494,32588,21] [11步] U翻棱:B2 R2 | D归位:F2 B2 D' | 中层:L2 U D | 收尾:F2 D2 R2
E0063 [   0,494,19143,16] [ 9步] U翻棱:D2 B2 | D归位:U2 D | 中层:R2 L2 | 收尾:D' B2 D
E0064 [   0,494,26763, 8] [10步] U翻棱:F2 L2 | D归位:U2 L2 B2 | 中层:U D | 收尾:R2 U2 B2
E0065 [   0,494,37664, 4] [ 7步] U翻棱:U' | D归位:D R2 | 中层:D R2 | 收尾:L2 B2
E0066 [   0,494,  870, 5] [ 4步] U翻棱:R2 | D归位:U | 中层:F2 | 收尾:R2
E0067 [   0,494, 2322, 6] [ 2步] U翻棱:F2 | D归位: | 中层: | 收尾:D
E0068 [   0,494, 6384,23] [ 7步] U翻棱:U | D归位:R2 U' | 中层:D2 L2 | 收尾:U D'
E0069 [   0,494,38331,14] [ 4步] U翻棱:B2 | D归位:U' | 中层:R2 | 收尾:B2
E0070 [   0,494,20440,23] [ 4步] U翻棱:L2 | D归位:D2 | 中层:R2 | 收尾:U'
