corner_class,edge_class,canonical_a,canonical_b,sym,length
3,43,3,42,3,8
3,65,3,42,4,8
3,47,3,42,5,8
3,46,3,42,6,8
3,66,3,42,7,8
3,48,3,48,0,6
3,72,3,48,1,6
3,52,3,48,2,6
3,70,3,48,3,6
3,69,3,48,4,6
3,53,3,48,5,6
3,71,3,48,6,6
3,49,3,48,7,6
3,54,3,54,0,4
3,79,3,54,1,4
3,55,3,55,0,7
3,58,3,55,2,7
3,61,3,55,3,7
3,74,3,55,4,7
3,57,3,57,0,7
3,64,3,57,1,7
3,73,3,57,2,7
3,60,3,57,6,7
3,86,3,86,0,6
3,90,3,86,1,6
3,88,3,86,2,6
3,91,3,86,3,6
3,87,3,87,0,7
3,100,3,87,1,7
3,101,3,87,4,7
3,89,3,87,5,7
3,104,3,104,0,5
3,117,3,104,1,5
3,118,3,104,2,5
3,106,3,104,3,5
3,105,3,104,4,5
3,116,3,104,5,5
3,119,3,104,6,5
3,107,3,104,7,5
3,108,3,108,0,6
3,109,3,108,1,6
3,112,3,108,2,6
3,111,3,108,3,6
3,114,3,108,4,6
3,115,3,108,5,6
3,110,3,108,6,6
3,113,3,108,7,6
3,136,3,136,0,6
3,137,3,136,1,6
4,1,4,1,0,5
4,2,4,1,1,5
6,1,4,1,2,5
7,2,4,1,3,5
5,1,4,1,4,5
5,2,4,1,5,5
7,1,4,1,6,5
6,2,4,1,7,5
4,4,4,4,0,2
4,9,4,4,1,2
6,6,4,4,2,2
7,10,4,4,3,2
5,5,4,4,4,2
5,8,4,4,5,2
7,7,4,4,6,2
6,11,4,4,7,2
4,5,4,5,0,4
4,8,4,5,1,4
6,7,4,5,2,4
7,11,4,5,3,4
5,4,4,5,4,4
5,9,4,5,5,4
7,6,4,5,6,4
6,10,4,5,7,4
4,6,4,6,0,6
4,10,4,6,1,6
6,5,4,6,2,6
7,8,4,6,3,6
5,7,4,6,4,6
5,11,4,6,5,6
7,4,4,6,6,6
6,9,4,6,7,6
4,7,4,7,0,6
4,11,4,7,1,6
6,4,4,7,2,6
7,9,4,7,3,6
5,6,4,7,4,6
5,10,4,7,5,6
7,5,4,7,6,6
6,8,4,7,7,6
4,13,4,13,0,6
4,38,4,13,1,6
6,28,4,13,2,6
7,41,4,13,3,6
5,16,4,13,4,6
5,39,4,13,5,6
7,31,4,13,6,6
6,40,4,13,7,6
4,16,4,16,0,6
4,39,4,16,1,6
6,31,4,16,2,6
7,40,4,16,3,6
5,13,4,16,4,6
5,38,4,16,5,6
7,28,4,16,6,6
6,41,4,16,7,6
4,18,4,18,0,5
4,33,4,18,1,5
6,33,4,18,2,5
7,18,4,18,3,5
5,18,4,18,4,5
5,33,4,18,5,5
7,33,4,18,6,5
6,18,4,18,7,5
4,19,4,19,0,3
4,20,4,19,1,3
6,25,4,19,2,3
7,26,4,19,3,3
5,26,4,19,4,3
5,25,4,19,5,3
7,20,4,19,6,3
6,19,4,19,7,3
4,25,4,25,0,5
4,26,4,25,1,5
6,26,4,25,2,5
7,25,4,25,3,5
5,20,4,25,4,5
5,19,4,25,5,5
7,19,4,25,6,5
6,20,4,25,7,5
4,28,4,28,0,7
4,41,4,28,1,7
6,16,4,28,2,7
7,39,4,28,3,7
5,31,4,28,4,7
5,40,4,28,5,7
7,13,4,28,6,7
6,38,4,28,7,7
4,31,4,31,0,7
4,40,4,31,1,7
6,13,4,31,2,7
7,38,4,31,3,7
5,28,4,31,4,7
5,41,4,31,5,7
7,16,4,31,6,7
6,39,4,31,7,7
4,44,4,44,0,6
4,51,4,44,1,6
6,76,4,44,2,6
7,76,4,44,3,6
5,51,4,44,4,6
5,44,4,44,5,6
7,77,4,44,6,6
6,77,4,44,7,6
4,45,4,45,0,6
4,50,4,45,1,6
6,75,4,45,2,6
7,75,4,45,3,6
5,50,4,45,4,6
5,45,4,45,5,6
7,78,4,45,6,6
6,78,4,45,7,6
4,56,4,56,0,7
4,63,4,56,1,7
6,63,4,56,2,7
7,56,4,56,3,7
5,59,4,56,4,7
5,62,4,56,5,7
7,62,4,56,6,7
6,59,4,56,7,7
4,59,4,59,0,7
4,62,4,59,1,7
6,62,4,59,2,7
7,59,4,59,3,7
5,56,4,59,4,7
5,63,4,59,5,7
7,63,4,59,6,7
6,56,4,59,7,7
4,75,4,75,0,6
6,50,4,75,2,6
7,45,4,75,3,6
5,78,4,75,4,6
4,76,4,76,0,8
6,51,4,76,2,8
7,44,4,76,3,8
5,77,4,76,4,8
4,77,4,77,0,6
6,44,4,77,2,6
7,51,4,77,3,6
5,76,4,77,4,6
4,78,4,78,0,8
6,45,4,78,2,8
7,50,4,78,3,8
5,75,4,78,4,8
4,80,4,80,0,7
4,97,4,80,1,7
6,93,4,80,2,7
7,84,4,80,3,7
5,81,4,80,4,7
5,96,4,80,5,7
7,92,4,80,6,7
6,85,4,80,7,7
4,81,4,81,0,6
4,96,4,81,1,6
6,92,4,81,2,6
7,85,4,81,3,6
5,80,4,81,4,6
5,97,4,81,5,6
7,93,4,81,6,6
6,84,4,81,7,6
4,82,4,82,0,7
4,102,4,82,1,7
