ep_0..11,canonical_id,sym_index,length,formula
3 1 2 0 6 4 5 7 10 11 9 8,C786,2,14,U F2 U F2 L2 F2 L2 F2 L2 D L2 U2 R2 D
3 1 2 0 6 4 5 7 11 8 9 10,C788,2,14,F2 U' F2 B2 U' R2 U' L2 F2 R2 U B2 R2 D2
3 1 2 0 6 4 5 7 11 9 10 8,C547,2,13,F2 L2 F2 B2 D F2 B2 U F2 D2 R2 B2 D2
3 1 2 0 6 4 5 7 11 10 8 9,C785,2,14,U F2 L2 F2 D' B2 R2 D L2 R2 D L2 U2 L2
3 1 2 0 6 4 7 5 8 9 10 11,C231,2,12,D F2 R2 F2 D F2 U F2 L2 B2 D L2
3 1 2 0 6 4 7 5 8 10 11 9,C234,2,12,U L2 F2 L2 D L2 D F2 L2 B2 D L2
3 1 2 0 6 4 7 5 8 11 9 10,C236,2,12,D F2 R2 F2 U B2 D B2 L2 F2 D F2
3 1 2 0 6 4 7 5 9 8 11 10,C567,2,13,U L2 F2 L2 U B2 U B2 R2 F2 U2 D' L2
3 1 2 0 6 4 7 5 9 10 8 11,C235,2,12,U L2 F2 L2 D B2 D B2 L2 F2 D F2
3 1 2 0 6 4 7 5 9 11 10 8,C237,2,12,D' L2 B2 L2 U' R2 D' R2 F2 L2 D' L2
3 1 2 0 6 4 7 5 10 8 9 11,C238,2,12,U' F2 L2 F2 D' R2 D' R2 F2 L2 D' L2
3 1 2 0 6 4 7 5 10 9 11 8,C232,2,12,D' L2 B2 L2 U' F2 D' L2 F2 R2 D' F2
3 1 2 0 6 4 7 5 10 11 8 9,C566,2,13,U L2 F2 L2 U' D2 F2 U F2 L2 B2 D L2
3 1 2 0 6 4 7 5 11 8 10 9,C239,2,12,U' F2 L2 F2 D' F2 D' L2 F2 R2 D' F2
3 1 2 0 6 4 7 5 11 9 8 10,C233,2,12,D F2 R2 F2 U L2 D F2 L2 B2 D L2
3 1 2 0 6 4 7 5 11 10 9 8,C565,2,13,U L2 F2 L2 U R2 U F2 R2 B2 U2 D' F2
3 1 2 0 6 5 4 7 8 9 10 11,C072,2,11,R2 U F2 L2 B2 D' F2 R2 B2 U2 R2
3 1 2 0 6 5 4 7 8 10 11 9,C466,2,13,U2 L2 U F2 R2 B2 D' F2 L2 U2 L2 U2 B2
3 1 2 0 6 5 4 7 8 11 9 10,C467,2,13,U2 F2 D2 L2 U2 L2 F2 U R2 F2 L2 D' R2
3 1 2 0 6 5 4 7 9 8 11 10,C471,2,13,B2 U2 D F2 U2 L2 F2 R2 U2 F2 L2 D B2
3 1 2 0 6 5 4 7 9 10 8 11,C188,2,12,R2 U L2 F2 U' L2 B2 R2 U' L2 D' R2
3 1 2 0 6 5 4 7 9 11 10 8,C468,2,13,U D' F2 U L2 B2 R2 U' F2 R2 B2 U2 R2
3 1 2 0 6 5 4 7 10 8 9 11,C189,2,12,R2 D F2 R2 D' L2 B2 R2 D' B2 U' R2
3 1 2 0 6 5 4 7 10 9 11 8,C463,2,13,U R2 U2 F2 R2 B2 U' R2 F2 L2 U B2 D'
3 1 2 0 6 5 4 7 10 11 8 9,C469,2,13,L2 U2 F2 U D2 R2 F2 L2 D' F2 R2 D2 L2
